package_version,query_url,retrieved_at,requested_model,requested_date,date_selection,raw_model,id,model,hardware,framework,image,precision,spec_method,benchmark_type,isl,osl,conc,disagg,is_multinode,offload_mode,recipe_fingerprint,prefill_tp,prefill_ep,prefill_dp_attention,prefill_num_workers,decode_tp,decode_ep,decode_dp_attention,decode_num_workers,num_prefill_gpu,num_decode_gpu,date,workflow_run_id,run_started_at,run_url,curve_date,curve_workflow_run_id,curve_run_started_at,power_valid,power_metric_schema_version,avg_power_w,prefill_avg_power_w,decode_avg_power_w,joules_per_successful_query,joules_per_input_token,joules_per_output_token,joules_per_total_token,prefill_joules_per_input_token,decode_joules_per_output_token,avg_temp_c,peak_temp_c,avg_util_pct,avg_mem_used_mb
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440994,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,64,false,false,off,c8ce592d441bf2e96809f26e68de623f14d7de2060a76e4ca423d36b2b851ecb,8,8,true,0,8,8,true,0,64,64,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,645.911,,,3702.061148,0.501173,4.016292,0.445573,,,,,,
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440983,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,128,false,false,off,c8ce592d441bf2e96809f26e68de623f14d7de2060a76e4ca423d36b2b851ecb,8,8,true,0,8,8,true,0,64,64,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,634.415,,,2411.44969,0.326459,2.620838,0.290298,,,,,,
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440977,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,256,false,false,off,c8ce592d441bf2e96809f26e68de623f14d7de2060a76e4ca423d36b2b851ecb,8,8,true,0,8,8,true,0,64,64,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,720.887,,,2299.029877,0.311774,2.493383,0.277122,,,,,,
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440979,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,512,false,false,off,c8ce592d441bf2e96809f26e68de623f14d7de2060a76e4ca423d36b2b851ecb,8,8,true,0,8,8,true,0,64,64,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,776.567,,,1665.404095,0.225752,1.806033,0.200669,,,,,,
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440980,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,1024,false,false,off,c8ce592d441bf2e96809f26e68de623f14d7de2060a76e4ca423d36b2b851ecb,8,8,true,0,8,8,true,0,64,64,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,834.602,,,1186.130022,0.160878,1.286724,0.142999,,,,,,
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440982,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,1,false,false,off,887992929444afca1a681f19b9ed60e021ac8f19be2433fe691ba697889736d0,8,1,false,0,8,1,false,0,8,8,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,389.949,,,29451.992502,3.981452,31.658597,3.536672,,,,,,
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440989,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,2,false,false,off,887992929444afca1a681f19b9ed60e021ac8f19be2433fe691ba697889736d0,8,1,false,0,8,1,false,0,8,8,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,426.093,,,17270.427619,2.334094,18.466108,2.072174,,,,,,
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440978,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,4,false,false,off,887992929444afca1a681f19b9ed60e021ac8f19be2433fe691ba697889736d0,8,1,false,0,8,1,false,0,8,8,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,488.582,,,10791.235767,1.467946,11.728011,1.304648,,,,,,
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440987,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,8,false,false,off,887992929444afca1a681f19b9ed60e021ac8f19be2433fe691ba697889736d0,8,1,false,0,8,1,false,0,8,8,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,520.081,,,6966.619593,0.953011,7.524465,0.845877,,,,,,
0.1.0,https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-V4-Pro&date=2026-09-04&powerValid=strictV2,2026-09-05T01:02:34.362Z,DeepSeek-V4-Pro,2026-09-04,as-of,dsv4,440993,dsv4,b200,vllm,vllm/vllm-openai:nightly-7c5dc571cbd1064ecc8a9b1045637ff647aa22cb,fp4,none,single_turn,8192,1024,16,false,false,off,887992929444afca1a681f19b9ed60e021ac8f19be2433fe691ba697889736d0,8,1,false,0,8,1,false,0,8,8,2026-09-03,,,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33554397154/attempts/1,2026-09-03,2401,2026-09-03 22:38:12+00,1,2,645.145,,,5201.502311,0.70827,5.683693,0.629789,,,,,,
